Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic,source_file
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),N3.traffic.htm
N3-1L,Banani Rail Crossing-Progoti sharani(Left) (Left),LRPS,0,0,LRP001a,0,1.81,1.810,45.0,3442.0,3960.0,5513.0,5740.0,8092.0,4967.0,32348.0,11924.0,6377.0,4.0,2.0,0.0,82408.0,6.0,82414.0,82414.0,N3.traffic.htm
N3-1R,Banani Rail Crossing-Progoti sharani(Left) (Right),LRPS,0,0,LRP001a,0,1.81,1.810,127.0,3895.0,4424.0,5401.0,5037.0,8171.0,4024.0,31572.0,11410.0,7303.0,160.0,86.0,0.0,81364.0,246.0,81610.0,81610.0,N3.traffic.htm
N3-2L,"Progoti sharani-Abdullahpur, Int. with N302 (Left) (Left)",LRP001a,0,1.81,LRP001a,7247,9.057,7.247,38.0,691.0,4023.0,3908.0,4950.0,13647.0,4171.0,32162.0,6495.0,3353.0,16.0,22.0,0.0,73438.0,38.0,73476.0,73476.0,N3.traffic.htm
N3-2R,"Progoti sharani-Abdullahpur, Int. with N302 (Left) (Right)",LRP001a,0,1.81,LRP001a,7247,9.057,7.247,234.0,3276.0,4154.0,5469.0,5022.0,7480.0,5107.0,26305.0,8665.0,3226.0,60.0,70.0,0.0,68938.0,130.0,69068.0,69068.0,N3.traffic.htm
N3-3L,"Abdullahpur-Tongi St. Road, (int. with R301)(Left) (Left)",LRP001a,7247,9.057,LRP001a,8711,10.521,1.464,163.0,2852.0,2919.0,3963.0,3081.0,3496.0,812.0,4681.0,3084.0,1333.0,224.0,2295.0,0.0,26384.0,2519.0,28903.0,28903.0,N3.traffic.htm
N3-3R,"Abdullahpur-Tongi St. Road, (int. with R301)(Left) (Right)",LRP001a,7247,9.057,LRP001a,8711,10.521,1.464,169.0,2999.0,3086.0,4079.0,3314.0,3531.0,873.0,4600.0,3044.0,1434.0,251.0,2329.0,0.0,27129.0,2580.0,29709.0,29709.0,N3.traffic.htm
N3-4L,Tongi st.road (Int.with R301)-Tongi (Int.with R303) (Left) (Left),LRP001a,8711,10.521,LRP001a,8920,10.73,0.209,163.0,2852.0,2919.0,3963.0,3081.0,3496.0,812.0,4681.0,3084.0,1333.0,224.0,2295.0,0.0,26384.0,2519.0,28903.0,28903.0,N3.traffic.htm
N3-4R,Tongi st.road (Int.with R301)-Tongi (Int.with R303) (Left) (Right),LRP001a,8711,10.521,LRP001a,8920,10.73,0.209,169.0,2999.0,3086.0,4079.0,3314.0,3531.0,873.0,4600.0,3044.0,1434.0,251.0,2329.0,0.0,27129.0,2580.0,29709.0,29709.0,N3.traffic.htm
N3-5L,Tongi (Int.with R303)-Int.with N105 (Left) (Left),LRP001a,8920,10.73,LRP020,577,20.449,9.719,42.0,2102.0,1598.0,1655.0,1803.0,1728.0,605.0,3894.0,1983.0,461.0,159.0,652.0,0.0,15871.0,811.0,16682.0,16682.0,N3.traffic.htm
N3-5R,Tongi (Int.with R303)-Int.with N105 (Left) (Right),LRP001a,8920,10.73,LRP020,577,20.449,9.719,38.0,2114.0,1612.0,1710.0,1636.0,1971.0,596.0,4129.0,1819.0,991.0,423.0,1645.0,0.0,16616.0,2068.0,18684.0,18684.0,N3.traffic.htm
N3-6L,Int.with N105-Joydebpur (Int. with N4)(Left) (Left),LRP020,577,20.449,LRP020,1930,21.802,1.353,38.0,2114.0,1612.0,1710.0,1636.0,1971.0,596.0,4129.0,1819.0,991.0,423.0,1645.0,0.0,16616.0,2068.0,18684.0,18684.0,N3.traffic.htm
N3-6R,Int.with N105-Joydebpur (Int. with N4)(Left) (Right),LRP020,577,20.449,LRP020,1930,21.802,1.353,38.0,2114.0,1612.0,1710.0,1636.0,1971.0,596.0,4129.0,1819.0,991.0,423.0,1645.0,0.0,16616.0,2068.0,18684.0,18684.0,N3.traffic.htm
N3-7L,Joydebpur (Int. with N4)-Master Bari (Int. with Z8034) (Left) (Left),LRP020,1930,21.802,LRP029,984,29.845,8.043,97.0,2070.0,1107.0,1608.0,858.0,1338.0,103.0,995.0,1619.0,854.0,217.0,570.0,0.0,10649.0,787.0,11436.0,11436.0,N3.traffic.htm
N3-7R,Joydebpur (Int. with N4)-Master Bari (Int. with Z8034) (Left) (Right),LRP020,1930,21.802,LRP029,984,29.845,8.043,111.0,2294.0,1092.0,1610.0,810.0,1305.0,100.0,994.0,1578.0,871.0,203.0,506.0,0.0,10765.0,709.0,11474.0,11474.0,N3.traffic.htm
N3-8L,Master Bari (Int. with Z8034)-Rajendrapur (Int. with R312)(Left) (Left),LRP029,984,29.845,LRP034,135,34.028,4.183,97.0,2070.0,1107.0,1608.0,858.0,1338.0,103.0,995.0,1619.0,854.0,217.0,570.0,0.0,10649.0,787.0,11436.0,11436.0,N3.traffic.htm
N3-8R,Master Bari (Int. with Z8034)-Rajendrapur (Int. with R312)(Left) (Right),LRP029,984,29.845,LRP034,135,34.028,4.183,111.0,2294.0,1092.0,1610.0,810.0,1305.0,100.0,994.0,1578.0,871.0,203.0,506.0,0.0,10765.0,709.0,11474.0,11474.0,N3.traffic.htm
N3-9L,Rajendrapur(Int. with R312)-Bairagirchala(Int. with Z3009) (Left) (Left),LRP034,135,34.028,LRP045,370,44.872,10.844,97.0,2070.0,1107.0,1608.0,858.0,1338.0,103.0,995.0,1619.0,854.0,217.0,570.0,0.0,10649.0,787.0,11436.0,11436.0,N3.traffic.htm
N3-9R,Rajendrapur(Int. with R312)-Bairagirchala(Int. with Z3009) (Left) (Right),LRP034,135,34.028,LRP045,370,44.872,10.844,111.0,2294.0,1092.0,1610.0,810.0,1305.0,100.0,994.0,1578.0,871.0,203.0,506.0,0.0,10765.0,709.0,11474.0,11474.0,N3.traffic.htm
N3-10L,Bairagirchala (Int. with Z3009) -Mawna (Int.with R313)(Left) (Left),LRP045,370,44.872,LRP048,1306,48.846,3.974,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3.traffic.htm
N3-10R,Bairagirchala (Int. with Z3009) -Mawna (Int.with R313)(Left) (Right),LRP045,370,44.872,LRP048,1306,48.846,3.974,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3.traffic.htm
N3-11L,Mawna (Int.with R313)-Mawna (Int.with R314) (Left) (Left),LRP048,1306,48.846,LRP048,2016,49.556,0.710,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3.traffic.htm
N3-11R,Mawna (Int.with R313)-Mawna (Int.with R314) (Left) (Right),LRP048,1306,48.846,LRP048,2016,49.556,0.710,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3.traffic.htm
N3-12L,Mawna (Int.with R314) -Bhaluka (Int.with Z3030) (Left) (Left),LRP048,2016,49.556,LRP070,1086,70.291,20.735,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3.traffic.htm
N3-12R,Mawna (Int.with R314) -Bhaluka (Int.with Z3030) (Left) (Right),LRP048,2016,49.556,LRP070,1086,70.291,20.735,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3.traffic.htm
N3-13L,Bhaluka (Int.with Z3030)-Bhaluka (Int.with Z3031) (Left) (Left),LRP070,1086,70.291,LRP070,1090,70.295,0.004,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3.traffic.htm
N3-13R,Bhaluka (Int.with Z3030)-Bhaluka (Int.with Z3031) (Left) (Right),LRP070,1086,70.291,LRP070,1090,70.295,0.004,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3.traffic.htm
N3-14L,Bhaluka (Int.with Z3031)-Bharadoba (Int.with Z3037) (Left) (Left),LRP070,1090,70.295,LRP074,2122,75.006,4.711,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3.traffic.htm
N3-14R,Bhaluka (Int.with Z3031)-Bharadoba (Int.with Z3037) (Left) (Right),LRP070,1090,70.295,LRP074,2122,75.006,4.711,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3.traffic.htm
N3-15L,Bharadoba(Int.with Z3037) -Bagarbazar (Int.with Z3032)(Left) (Left),LRP074,2122,75.006,LRP074,6950,79.834,4.828,19.0,550.0,296.0,672.0,464.0,406.0,146.0,442.0,604.0,450.0,64.0,124.0,0.0,4049.0,188.0,4237.0,4237.0,N3.traffic.htm
N3-15R,Bharadoba(Int.with Z3037) -Bagarbazar (Int.with Z3032)(Left) (Right),LRP074,2122,75.006,LRP074,6950,79.834,4.828,17.0,656.0,281.0,772.0,492.0,415.0,120.0,491.0,546.0,313.0,44.0,92.0,0.0,4103.0,136.0,4239.0,4239.0,N3.traffic.htm
N3-16L,Bagarbazar (Int.with Z3032)-Trisal (Int.with Z3034)(Left) (Left),LRP074,6950,79.834,LRP083,9096,91.122,11.288,19.0,550.0,296.0,672.0,464.0,406.0,146.0,442.0,604.0,450.0,64.0,124.0,0.0,4049.0,188.0,4237.0,4237.0,N3.traffic.htm
N3-16R,Bagarbazar (Int.with Z3032)-Trisal (Int.with Z3034)(Left) (Right),LRP074,6950,79.834,LRP083,9096,91.122,11.288,17.0,656.0,281.0,772.0,492.0,415.0,120.0,491.0,546.0,313.0,44.0,92.0,0.0,4103.0,136.0,4239.0,4239.0,N3.traffic.htm
N3-17L,Trisal (Int.with Z3034)-Int.with N309(Left) (Left),LRP083,9096,91.122,LRP105,3129,106.584,15.462,17.0,656.0,281.0,772.0,492.0,415.0,120.0,491.0,546.0,313.0,44.0,92.0,0.0,4103.0,136.0,4239.0,4239.0,N3.traffic.htm
N3-17R,Trisal (Int.with Z3034)-Int.with N309(Left) (Right),LRP083,9096,91.122,LRP105,3129,106.584,15.462,19.0,550.0,296.0,672.0,464.0,406.0,146.0,442.0,604.0,450.0,64.0,124.0,0.0,4049.0,188.0,4237.0,4237.0,N3.traffic.htm
N3-18L,Int.with N309-Charpara More (Int.with R370)(Left) (Left),LRP105,3129,106.584,LRP111a,0,109.999,3.415,19.0,550.0,296.0,672.0,464.0,406.0,146.0,442.0,604.0,450.0,64.0,124.0,0.0,4049.0,188.0,4237.0,4237.0,N3.traffic.htm
N3-18R,Int.with N309-Charpara More (Int.with R370)(Left) (Right),LRP105,3129,106.584,LRP111a,0,109.999,3.415,17.0,656.0,281.0,772.0,492.0,415.0,120.0,491.0,546.0,313.0,44.0,92.0,0.0,4103.0,136.0,4239.0,4239.0,N3.traffic.htm
N3-19,"Charpara More(Int.with R370)-Mymensing, End of N3",LRP111a,0,109.999,LRP111a,1586,111.585,1.586,19.0,550.0,296.0,672.0,464.0,406.0,146.0,442.0,604.0,450.0,64.0,124.0,0.0,4049.0,188.0,4237.0,4237.0,N3.traffic.htm
,,,,,,,,,,,,,,,,,,,,,,,,,,N3.traffic.htm
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,,N3.traffic.htm
