,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,Start at post office more and intersection at N 703 & N 704 Jhenaihah .,23.5456941,89.1728604,,N704.lrps.htm
,LRPSa,0.233,Bridge,R.C.C Bridge start,23.5476663,89.1736382,,N704.lrps.htm
,LRPSb,0.32,Bridge,R.C.C Bridge end,23.5484163,89.1736382,,N704.lrps.htm
,LRPSc,0.922,Cross Road,N 712,23.5537222,89.1740827,,N704.lrps.htm
,LRP001,1.02,Km Post,Kushtia 45 km Meherpur 103 km,23.5546111,89.173916,,N704.lrps.htm
,LRP001a,1.833,Bridge,R.C.C Bridge start,23.5618056,89.172916,,N704.lrps.htm
,LRP001b,1.858,Bridge,R.C.C Bridge end,23.5620278,89.1729438,,N704.lrps.htm
,LRP002,1.92,Km Post,Kushtia 44 km Pabna 107 km,23.5626389,89.1730827,,N704.lrps.htm
,LRP002a,2.604,Culvert,Box Culvert,23.5519444,89.1747493,,N704.lrps.htm
,LRP003,2.92,Km Post,Kushtia 43 km Bogra 192 km,23.5713049,89.1754716,,N704.lrps.htm
,LRP003a,3.118,Bridge,R.C.C Bridge start,23.5730271,89.1759438,,N704.lrps.htm
,LRP003b,3.151,Bridge,R.C.C Bridge end,23.5733049,89.1760271,,N704.lrps.htm
,LRP004,3.92,Km Post,Kushtia 42 km Rajshahi 179 km,23.5801938,89.176916,,N704.lrps.htm
,LRP004a,4.462,"Side Road, Left",Z7404 to tailtupi,23.5850274,89.1775827,,N704.lrps.htm
,LRP005,4.93,Km Post,Kushtia 41 km Meherpur 99 km,23.5891108,89.1781104,,N704.lrps.htm
,LRP005a,5.534,Culvert,Box Culvert,23.5943886,89.1793327,,N704.lrps.htm
,LRP006,5.93,Km Post,Kushtia 40 km Pabna 103 km,23.5979163,89.1800827,,N704.lrps.htm
,LRP007,6.925,Km Post,Kushtia 39 km Bogra 188 km,23.6066667,89.1819716,,N704.lrps.htm
,LRP007a,7.101,Culvert,Box Culvert,23.60825,89.1823049,,N704.lrps.htm
,LRP008,7.925,Km Post,Kushtia 38 km Rajshahi 175 km,23.6155278,89.1838052,,N704.lrps.htm
,LRP009,8.925,Km Post,Kushtia 37 km Meherpur 95 km,23.6237216,89.1868608,,N704.lrps.htm
,LRP009a,8.977,Culvert,Box Culvert,23.6241382,89.1871663,,N704.lrps.htm
,LRP009b,9.57,Culvert,Box Culvert,23.629166,89.1891108,,N704.lrps.htm
,LRP009c,9.759,Culvert,Box Culvert,23.6308049,89.1895274,,N704.lrps.htm
,LRP010,9.925,Km Post,Kushtia 36 km pabna 99 km,23.6321938,89.1898608,,N704.lrps.htm
,LRP010a,9.948,Culvert,Box Culvert,23.632416,89.1899441,,N704.lrps.htm
,LRP010b,10.218,Culvert,R.C.C Culvert,23.6348052,89.1905552,,N704.lrps.htm
,LRP010c,10.803,Culvert,Box Culvert,23.6394163,89.1931663,,N704.lrps.htm
,LRP011,10.921,Km Post,Kushtia 35 km Bogra 184 km,23.6403608,89.1937219,,N704.lrps.htm
,LRP011a,10.944,Culvert,Box Culvert,23.6405552,89.1938608,,N704.lrps.htm
,LRP012,11.921,Km Post,Kushtia 34 km Rajshasi 171 km,23.648333,89.1981941,,N704.lrps.htm
,LRP012a,12.027,Culvert,R.C.c Culvert,23.6492774,89.1983886,,N704.lrps.htm
