Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT)
N809-1L,Barishal (Amtala More)-Kirtonkhola Ferryghat (West) (Left),LRPS,0,0,LRPS,2770,2.77,2.770,0.0,178.0,67.0,0.0,94.0,31.0,22.0,22.0,380.0,596.0,275.0,441.0,0.0,1390.0,716.0,2106.0,2106.0
N809-1R,Barishal (Amtala More)-Kirtonkhola Ferryghat (West) (Right),LRPS,0,0,LRPS,2770,2.77,2.770,0.0,178.0,67.0,0.0,94.0,31.0,22.0,22.0,380.0,596.0,275.0,441.0,0.0,1390.0,716.0,2106.0,2106.0
N809-2,Kirtonkhola Ferryghat (West)-Dinerpool (Int.with Z8044),LRPS,2770,2.77,LRP003,2300,5.3,2.530,0.0,178.0,67.0,0.0,94.0,31.0,22.0,22.0,380.0,596.0,275.0,441.0,0.0,1390.0,716.0,2106.0,2106.0
N809-3,Dinerpool (Int.with Z8044)-Veduria Ferryghat,LRP003,2300,5.3,LRP025,675,25.69,20.390,0.0,178.0,67.0,0.0,94.0,31.0,22.0,22.0,380.0,596.0,275.0,441.0,0.0,1390.0,716.0,2106.0,2106.0
N809-4,Veduria Ferryghat-Parantalukderhat (Int.with R890),LRP025,675,25.69,LRP034,995,35.195,9.505,4.0,314.0,248.0,3.0,0.0,23.0,22.0,36.0,270.0,233.0,198.0,204.0,0.0,1153.0,402.0,1555.0,1555.0
N809-5,Parantalukderhat (Int.with R890)-Illisha Chatar matha Launchghat,LRP034,995,35.195,LRP041,945,42.16,6.965,4.0,314.0,248.0,3.0,0.0,23.0,22.0,36.0,270.0,233.0,198.0,204.0,0.0,1153.0,402.0,1555.0,1555.0
N809-6,Maju Chowdhury Ghat-Terobaki (Int.with R147),LRP041,945,42.16,LRP066,82,66.177,24.017,0.0,174.0,122.0,13.0,12.0,89.0,15.0,56.0,251.0,173.0,177.0,167.0,0.0,905.0,344.0,1249.0,1249.0
N809-7,Terobaki (Int.with R147)-Lakshmipur New Bus terminal,LRP066,82,66.177,LRPE,0,67.815,1.638,0.0,174.0,122.0,13.0,12.0,89.0,15.0,56.0,251.0,173.0,177.0,167.0,0.0,905.0,344.0,1249.0,1249.0
,,,,,,,,,,,,,,,,,,,,,,,,,
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,
