Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT)
R141-1,Lalmai (int with R140) - Bagmara (Int.with Z1049),LRPS,0,0,LRPS,1975,1.975,1.975,28.0,930.0,643.0,814.0,123.0,557.0,107.0,154.0,1716.0,530.0,157.0,180.0,9.0,5602.0,346.0,5948.0,5948.0
R141-2,Bagmara (Int.with Z1049-Int.with Z1049),LRPS,1978,1.978,LRPS,2280,2.28,0.302,28.0,930.0,643.0,814.0,123.0,557.0,107.0,154.0,1716.0,530.0,157.0,180.0,9.0,5602.0,346.0,5948.0,5948.0
R141-3,Bagmara (Int.with Z1049)-Harishchar (int with Z1046),LRPS,2280,2.28,LRPS,8687,8.687,6.407,28.0,930.0,643.0,814.0,123.0,557.0,107.0,154.0,1716.0,530.0,157.0,180.0,9.0,5602.0,346.0,5948.0,5948.0
R141-4,Harishchar (int with Z1046)- Swasanghat (int with Z1414),LRPS,8687,8.687,LRP010,754,10.793,2.106,28.0,930.0,643.0,814.0,123.0,557.0,107.0,154.0,1716.0,530.0,157.0,180.0,9.0,5602.0,346.0,5948.0,5948.0
R141-5,Swasanghat (int with Z1414) - Chauddagram (int with R144),LRP010,754,10.793,LRP012,1768,13.84,3.047,28.0,930.0,643.0,814.0,123.0,557.0,107.0,154.0,1716.0,530.0,157.0,180.0,9.0,5602.0,346.0,5948.0,5948.0
R141-6,Chauddagram (int with R144) - Daulatganj (int with Z1045),LRP012,1768,13.84,LRP012,2796,14.868,1.028,28.0,930.0,643.0,814.0,123.0,557.0,107.0,154.0,1716.0,530.0,157.0,180.0,9.0,5602.0,346.0,5948.0,5948.0
R141-7,Daulatganj (int with Z1045) - int with Z1048,LRP012,2796,14.868,LRP012,2928,15,0.132,28.0,930.0,643.0,814.0,123.0,557.0,107.0,154.0,1716.0,530.0,157.0,180.0,9.0,5602.0,346.0,5948.0,5948.0
R141-8,int with Z1048 - by pass end R144,LRP012,2928,15,LRP015,380,15.512,0.512,28.0,930.0,643.0,814.0,123.0,557.0,107.0,154.0,1716.0,530.0,157.0,180.0,9.0,5602.0,346.0,5948.0,5948.0
R141-9,by pass end R144 - Binoyghar (int with Z1415),LRP015,380,15.512,LRP028,194,28.497,12.985,28.0,930.0,643.0,814.0,123.0,557.0,107.0,154.0,1716.0,530.0,157.0,180.0,9.0,5602.0,346.0,5948.0,5948.0
R141-10,"Binoyghar (int with Z1415) - Sonaimuri Trimohoni (road end, int with R142)",LRP028,194,28.497,LRP037,828,38.225,9.728,28.0,930.0,643.0,814.0,123.0,557.0,107.0,154.0,1716.0,530.0,157.0,180.0,9.0,5602.0,346.0,5948.0,5948.0
,,,,,,,,,,,,,,,,,,,,,,,,,
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,
