Link no,Name,Start location,Start location,Start location,End location,End location,End location,Length,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Traffic Data,Total,Total,Total,Traffic,source_file
,,LRP,Offset,Chainage,LRP,Offset,Chainage,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),R585.traffic.htm
R585-1,Gobindaganj-Kata(Int.with Z5855),LRPS,0,0,LRP004,1675,4.675,4.675,184.0,1683.0,1359.0,159.0,279.0,142.0,42.0,138.0,1424.0,1103.0,608.0,839.0,1.0,6513.0,1448.0,7961.0,7961.0,R585.traffic.htm
R585-2,Kata(Int.with Z5855)-Goraghat bazar (Int.with Z5852),LRP004,1675,4.675,LRP016,820,16.01,11.335,49.0,913.0,180.0,158.0,125.0,95.0,43.0,64.0,398.0,1263.0,1539.0,1394.0,0.0,3288.0,2933.0,6221.0,6221.0,R585.traffic.htm
R585-3,Goraghat bazar (Int.with Z5852)-Goraghat (Int.with Z5856),LRP016,820,16.01,LRP021,159,20.129,4.119,49.0,913.0,180.0,158.0,125.0,95.0,43.0,64.0,398.0,1263.0,1539.0,1394.0,0.0,3288.0,2933.0,6221.0,6221.0,R585.traffic.htm
R585-4,Goraghat (Int.with Z5856)-Bhaduria(Int.with Z5851),LRP021,159,20.129,LRP035,555,34.505,14.376,49.0,913.0,180.0,158.0,125.0,95.0,43.0,64.0,398.0,1263.0,1539.0,1394.0,0.0,3288.0,2933.0,6221.0,6221.0,R585.traffic.htm
R585-5,Bhaduria(Int.with Z5851)-Bejon(Int.with Z5864),LRP035,555,34.505,LRP050,895,49.915,15.410,49.0,913.0,180.0,158.0,125.0,95.0,43.0,64.0,398.0,1263.0,1539.0,1394.0,0.0,3288.0,2933.0,6221.0,6221.0,R585.traffic.htm
R585-6,Bejon(Int.with Z5864)-Birampur(Int.with Z5851),LRP050,895,49.915,LRP054,442,53.542,3.627,198.0,1344.0,580.0,560.0,590.0,354.0,306.0,249.0,553.0,1414.0,721.0,397.0,2.0,6148.0,1120.0,7268.0,7268.0,R585.traffic.htm
R585-7,Birampur(Int.with Z5851)-Fulbari Trimohoni(Int.with R556),LRP054,442,53.542,LRP066,1200,66.22,12.678,198.0,1344.0,580.0,560.0,590.0,354.0,306.0,249.0,553.0,1414.0,721.0,397.0,2.0,6148.0,1120.0,7268.0,7268.0,R585.traffic.htm
R585-8,Fulbari Trimohoni(Int.with R556)-Fulbari (Int.with Z5857),LRP066,1200,66.22,LRP069,430,68.48,2.260,81.0,670.0,395.0,149.0,385.0,103.0,43.0,120.0,278.0,1049.0,398.0,272.0,0.0,3273.0,670.0,3943.0,3943.0,R585.traffic.htm
R585-9,Fulbari (Int.with Z5857)-Amtali(Int.with Z5804),LRP069,430,68.48,LRP087,1792,87.752,19.272,81.0,670.0,395.0,149.0,385.0,103.0,43.0,120.0,278.0,1049.0,398.0,272.0,0.0,3273.0,670.0,3943.0,3943.0,R585.traffic.htm
R585-10,Amtali(Int.with Z5804)-Dinajpur (Fulbari Bus Stand)Int.with R556,LRP087,1792,87.752,LRP107,44,105.624,17.872,81.0,670.0,395.0,149.0,385.0,103.0,43.0,120.0,278.0,1049.0,398.0,272.0,0.0,3273.0,670.0,3943.0,3943.0,R585.traffic.htm
R585-11,Dinajpur (Fulbari Bus Stand)Int.with R556-Dinajpur (Hospital More),LRP107,44,105.624,LRP107,1150,106.73,1.106,0.0,150.0,121.0,0.0,95.0,80.0,27.0,87.0,2317.0,2478.0,1851.0,1791.0,0.0,5355.0,3642.0,8997.0,8997.0,R585.traffic.htm
,,,,,,,,,,,,,,,,,,,,,,,,,,R585.traffic.htm
*  Traffic survey was not done on the link. It was assumed that the traffic will be equivalent to that of another link. Please click on the AADT figure to view the referenced link.  Traffic survey is done once in a year. This information was last updated in the year,,,,,,,,,,,,,,,,,,,,,,,,,,R585.traffic.htm
