,LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,,source_file
,LRPS,0,Others,"Start at Road Patuakhali Chow -Raster more Near Power Station End Point of N-8,Patuakhali.",22.3596111,90.3184716,,R880.lrps.htm
,LRP001,0.24,Km Post,"Kuakata 70 km,Barguna 41 km",22.3574444,90.3182216,,R880.lrps.htm
,LRP001a,0.907,Culvert,Box culvert,22.3494441,90.3172216,,R880.lrps.htm
,LRP002,1.24,Km Post,"Kuakata 69 km,Amtali 26 km",22.3484997,90.3171104,,R880.lrps.htm
,LRP002a,2.19,Culvert,Box culvert,22.3401386,90.3174993,,R880.lrps.htm
,LRP003,2.238,Km Post,"Kuakata 68 km,Amtali 25 km",22.3397497,90.3177493,,R880.lrps.htm
,LRP003a,2.421,Bridge,R.C.C bridge start,22.3381663,90.3183049,,R880.lrps.htm
,LRP003b,2.436,Bridge,R.C.C Bridge end,22.338083,90.3183327,,R880.lrps.htm
,LRP003c,2.622,Culvert,Box Culvert,22.3364997,90.3189716,,R880.lrps.htm
,LRP004,3.253,Km Post,Kuakta 67 km Khepupara 44 km,22.331166,90.320916,,R880.lrps.htm
,LRP004a,3.577,Culvert,Box Culvert,22.328416,90.321916,,R880.lrps.htm
,LRP005,4.253,Km Post,Kuakata 66 km Khepupara 43 km,22.3227771,90.3242493,,R880.lrps.htm
,LRP006,5.253,Km Post,Kuakata 65 km Barguna 36 km,22.3141667,90.3252771,,R880.lrps.htm
,LRP006a,5.297,Culvert,Box Culvert,22.3137778,90.3252493,,R880.lrps.htm
,LRP006b,6.014,Culvert,Box Culvert,22.3072778,90.3247493,,R880.lrps.htm
,LRP007,6.247,Km Post,Kuakata 64 km Barguna 35 km,22.30525,90.3245827,,R880.lrps.htm
,LRP008,7.253,Km Post,Kuakata 63 km Amtoli 22 km,22.2962774,90.3248327,,R880.lrps.htm
,LRP008a,7.941,Culvert,Box Culvert,22.290083,90.3253049,,R880.lrps.htm
,LRP009,8.263,Km Post,Kuakata 62 km Amtoli 21 km,22.2872497,90.3251938,,R880.lrps.htm
,LRP009a,8.727,Culvert,Box Culvert,22.2830827,90.324916,,R880.lrps.htm
,LRP010,9.263,Km Post,Kuakata 61 km Khepupa 238 km,22.2782216,90.3247216,,R880.lrps.htm
,LRP010a,9.343,Culvert,Box Culvert,22.2774993,90.3246938,,R880.lrps.htm
,LRP010b,9.855,Culvert,Box Culvert,22.2728327,90.3244438,,R880.lrps.htm
,LRP011,10.257,Km Post,Kuakata 60 km Khepupara 37 km,22.2692216,90.3244716,,R880.lrps.htm
,LRP012,11.267,Km Post,Kuakata 59 km Barguna 30 km,22.26025,90.3255271,,R880.lrps.htm
,LRP012a,11.537,Bridge,R.c.c Bridge start,22.2578333,90.3255549,,R880.lrps.htm
,LRP012b,11.555,Bridge,R.C.C Bridge end,22.2576667,90.3258604,,R880.lrps.htm
,LRP012c,11.862,"Side Road, Left",Z 8804 Golachipa road,22.2546667,90.3261382,,R880.lrps.htm
,LRP013,12.267,Km Post,Kuakata 58 km Bargana 29 km,22.2515833,90.3244716,,R880.lrps.htm
,LRP013a,12.339,Culvert,Box Culvert,22.251,90.3241938,,R880.lrps.htm
,LRP013b,13.184,Culvert,Box Culvert,22.2482219,90.322666,,R880.lrps.htm
,LRP013c,13.736,Culvert,Box Culvert,22.2453886,90.3183604,,R880.lrps.htm
,LRP014,13.767,Km Post,Kuakata 57 km Amtoli 16 km,22.2451663,90.3180549,,R880.lrps.htm
,LRP014a,13.827,Bridge,R.C.C Bridge start,22.2419719,90.3138611,,R880.lrps.htm
,LRP014b,13.845,Bridge,R.CC Bridge end,22.2418608,90.3137778,,R880.lrps.htm
,LRP015,14.267,Km Post,Kuakata 56 km Amtoli 15 km,22.2385552,90.3118333,,R880.lrps.htm
,LRP016,15.267,Km Post,Kuakata 55 km Khepapara 32 km,22.2302771,90.3080278,,R880.lrps.htm
,LRP016a,15.297,Culvert,Box Culvert,22.2299716,90.3079167,,R880.lrps.htm
,LRP016b,16.247,Culvert,Box Culvert,22.2221938,90.30525,,R880.lrps.htm
,LRP017,16.267,Km Post,Kukata 54 km Khepupara 31 km,22.2220271,90.3049444,,R880.lrps.htm
,LRP018,17.267,Km Post,Kuakata 53 km Barguna 24 km,22.215,90.2989441,,R880.lrps.htm
,LRP018a,17.78,Culvert,Box Culvert,22.2115,90.2956108,,R880.lrps.htm
,LRP019,18.267,Km Post,Kuakata 52 km Barguna 23 km,22.2081389,90.2926663,,R880.lrps.htm
,LRP019a,18.72,Culvert,Box Culvert,22.2049167,90.2899997,,R880.lrps.htm
,LRP020,19.258,Km Post,Kuakata 51 km Amtoli 10 km,22.2008056,90.2869441,,R880.lrps.htm
,LRP020a,19.272,Culvert,Box Culvert,22.2007778,90.2869163,,R880.lrps.htm
,LRP020b,19.537,Culvert,Box Culvert,22.1988052,90.285333,,R880.lrps.htm
,LRP021,20.258,Km Post,Kuakata 50 km Amtoli 9 km,22.1934719,90.2813049,,R880.lrps.htm
,LRP022,21.267,Km Post,Khepupara 26 km Kuakata 49 km,22.1856941,90.2763604,,R880.lrps.htm
,LRP022a,21.543,"Side Road, Left",Z 8806 to Galachipa,22.1836386,90.2748604,,R880.lrps.htm
,LRP022b,21.879,Bridge,R.C.c Bridge start,22.1817771,90.2723327,,R880.lrps.htm
,LRP022c,21.915,Bridge,R.c.c Bridge end,22.1815549,90.2720271,,R880.lrps.htm
,LRP023,22.267,Km Post,Kuakata 48 km Khepapara 25 km,22.1794993,90.2693882,,R880.lrps.htm
,LRP023a,22.879,Culvert,Box Culvert,22.1758604,90.2648889,,R880.lrps.htm
,LRP024,23.267,Km Post,Kuakata 47 km Barguna 18 km,22.1735549,90.2620833,,R880.lrps.htm
,LRP024a,23.987,Culvert,Box Culvert,22.169166,90.2568333,,R880.lrps.htm
,LRP025,24.267,Km Post,Kuakata 46 km Amtoli 5 km,22.1673604,90.2550556,,R880.lrps.htm
,LRP025a,24.585,Culvert,Box Culvert,22.1651667,90.2529444,,R880.lrps.htm
,LRP025b,24.88,Bridge,R.C.c Bridge start,22.1635833,90.2509722,,R880.lrps.htm
,LRP025c,24.897,Bridge,R.C.c Bridge end,22.1633333,90.2509444,,R880.lrps.htm
,LRP026,25.265,Km Post,Kuakata 45 km Amtoli 4 km,22.161,90.248333,,R880.lrps.htm
