Road Name,Number of Contracts,Total Length of Works (Km)
Z3008,0,0.0
Z6017,2,1.26
Z8814,2,1.28
Z7041,0,0.0
Z6020,0,0.0
R141,1,0.01
Z3708,0,0.0
Z7023,0,0.0
R755,1,19.3
R114,0,0.0
Z4011,0,0.0
Z5070,0,0.0
Z5558,0,0.0
Z5047,0,0.0
Z1039,0,0.0
Z8430,0,0.0
N107,0,0.0
Z4105,0,0.0
Z1405,4,36.12
R282,0,0.0
Z1432,2,4.99
Z8059,0,0.0
Z5012,0,0.0
Z2824,0,0.0
N713,0,0.0
Z2813,0,0.0
Z5025,0,0.0
Z4605,0,0.0
Z1450,0,0.0
Z7456,0,0.0
R317,0,0.0
Z7461,1,1.52
Z2042,0,0.0
R556,1,3.0
Z7708,2,14.25
R203,0,0.0
Z5902,0,0.0
Z3041,0,0.0
Z2020,0,0.0
R749,0,0.0
Z7008,0,0.0
Z8699,0,0.0
Z1131,0,0.0
Z5467,0,0.0
N404,0,0.0
Z6813,2,13.47
Z1025,0,0.0
Z5211,0,0.0
Z1012,0,0.0
N510,0,0.0
R851,0,0.0
Z8604,0,0.0
Z5405,0,0.0
Z4619,0,0.0
Z1606,0,0.0
Z1047,0,0.0
N2,1,1.97
Z5039,0,0.0
Z1070,0,0.0
N210,0,0.0
Z8054,0,0.0
Z1703,0,0.0
R822,0,0.0
Z1061,0,0.0
Z7801,1,22.0
Z1056,0,0.0
Z8701,1,0.5
Z1617,0,0.0
Z4608,0,0.0
Z1620,0,0.0
N501,1,13.99
Z6802,3,0.85
Z5555,0,0.0
Z1034,0,0.0
Z5476,0,0.0
Z7506,0,0.0
Z3705,0,0.0
Z2031,0,0.0
R247,0,0.0
R364,0,0.0
Z7412,0,0.0
Z7719,0,0.0
Z5852,0,0.0
Z3005,0,0.0
R570,0,0.0
R212,1,22.41
Z7553,0,0.0
R547,0,0.0
Z3032,0,0.0
N806,7,6.32
Z1441,0,0.0
N309,0,0.0
Z4614,0,0.0
Z5408,0,0.0
Z2802,0,0.0
Z5034,0,0.0
Z5003,1,2.0
Z8048,0,0.0
N702,0,0.0
Z1423,0,0.0
Z8416,0,0.0
Z5617,0,0.0
Z1414,0,0.0
Z1028,0,0.0
Z5703,1,2.0
Z5061,0,0.0
R605,0,0.0
Z7050,0,0.0
Z6031,4,0.47
Z6006,0,0.0
Z7705,0,0.0
R711,0,0.0
Z3623,0,0.0
Z7108,0,0.0
Z5802,1,0.5
Z2034,0,0.0
Z7503,0,0.0
Z2003,0,0.0
R303,0,0.0
R220,0,0.0
Z4801,0,0.0
Z3037,0,0.0
N803,0,0.0
Z6028,0,0.0
Z5857,2,1.2
Z1612,0,0.0
Z8704,0,0.0
Z1053,0,0.0
R810,0,0.0
Z6852,0,0.0
Z1219,0,0.0
Z8051,0,0.0
Z5505,0,0.0
Z1064,0,0.0
N204,0,0.0
Z1125,0,0.0
Z8004,0,0.0
Z1031,0,0.0
R681,0,0.0
Z4019,0,0.0
N504,3,1.32
Z8033,4,6.04
R891,0,0.0
Z3608,6,20.224
Z1802,0,0.0
Z6034,0,0.0
Z7469,0,0.0
R162,0,0.0
Z1087,0,0.0
Z1205,1,6.3
Z5006,0,0.0
N707,0,0.0
Z8207,0,0.0
Z2807,0,0.0
Z1444,3,4.83
Z5706,0,0.0
Z5064,0,0.0
N518,1,3.39
Z5053,0,0.0
Z8507,0,0.0
Z1411,0,0.0
Z5612,2,6.52
Z1426,1,22.0
N124,0,0.0
Z1437,0,0.0
Z1128,0,0.0
Z8402,2,19.49
N102,0,0.0
Z5042,0,0.0
Z8009,0,0.0
Z4023,0,0.0
N509,3,1.3
Z5075,0,0.0
R587,0,0.0
N602,0,0.0
Z8709,0,0.0
Z5020,1,1.05
Z5508,0,0.0
Z1069,1,6.67
N209,0,0.0
R144,0,0.0
Z7605,0,0.0
Z8905,0,0.0
Z1813,0,0.0
Z7711,1,1.21
Z1824,3,7.8
R880,0,0.0
R111,0,0.0
Z2405,0,0.0
Z7105,0,0.0
Z2039,0,0.0
Z7011,0,0.0
Z1017,0,0.0
Z1508,1,0.35
Z8740,0,0.0
Z5069,0,0.0
N515,0,0.0
Z6816,1,5.2
N401,0,0.0
Z8429,0,0.0
Z1134,0,0.0
N129,0,0.0
Z8040,0,0.0
Z1075,0,0.0
Z1042,0,0.0
R801,0,0.0
N540,0,0.0
N7,9,22.055
Z1603,0,0.0
Z8601,0,0.0
Z1449,0,0.0
Z2047,0,0.0
Z7058,0,0.0
Z3026,1,1.01
R312,0,0.0
Z7464,1,2.0
Z7619,0,0.0
Z2012,0,0.0
Z3711,0,0.0
R506,0,0.0
Z3605,0,0.0
R370,1,0.7
Z7406,0,0.0
Z5907,0,0.0
R315,2,5.65
Z7463,1,1.3
R201,0,0.0
Z3602,3,25.61
N406,0,0.0
N119,0,0.0
Z8419,0,0.0
Z5452,0,0.0
Z1133,0,0.0
Z8012,0,0.0
Z5059,0,0.0
Z1604,0,0.0
Z8606,0,0.0
N212,0,0.0
Z8047,0,0.0
Z1045,0,0.0
N809,1,3.0
Z6022,0,0.0
R548,0,0.0
Z7043,0,0.0
Z1814,0,0.0
Z6015,0,0.0
Z7716,0,0.0
R143,2,3.0
Z7602,0,0.0
R248,0,0.0
Z7021,0,0.0
R760,0,0.0
Z2009,0,0.0
Z7102,1,36.66
Z4024,0,0.0
Z5072,0,0.0
Z8405,0,0.0
Z1430,13,2.17
R280,0,0.0
Z1407,2,1.1
N105,1,28.74
Z2811,0,0.0
Z1059,0,0.0
N711,0,0.0
Z5010,1,7.0
Z1452,0,0.0
Z4607,1,1.0
Z1618,0,0.0
N605,0,0.0
Z4616,4,21.2
Z1443,5,6.88
Z1202,0,0.0
Z5001,1,2.01
Z1048,0,0.0
Z1416,0,0.0
N123,0,0.0
Z8414,0,0.0
Z5622,0,0.0
Z1421,0,0.0
Z5063,0,0.0
Z5701,2,7.79
Z5054,1,5.17
Z7007,0,0.0
R771,7,0.14
Z7030,0,0.0
R746,0,0.0
Z8913,0,0.0
Z7613,0,0.0
R152,0,0.0
R713,0,0.0
Z7707,4,4.46
Z6004,0,0.0
Z6033,1,1.9
Z8703,0,0.0
