name,avg_flood_score,closest_flood_category
0,2.4,Moderate River Flooding
--,0.0,Not Flood Prone
.,2.590728618950531,Low River Flooding
..,2.0,Moderate River Flooding
.Sluice gate.,2.0,Moderate River Flooding
.`,0.0,Not Flood Prone
10 No. Atrai Bridge,2.0,Moderate River Flooding
10HANIPUR RCC GIRDER BRIDGE,0.0,Not Flood Prone
11 MILE BOX CULVERT,0.0,Not Flood Prone
11 No. Airmari Bridge,2.0,Moderate River Flooding
12 VENT CULVERT,3.0,Low River Flooding
17 MILE TRUSE WITH STEEL,0.0,Not Flood Prone
1No.Churiokandi Bridge,2.0,Moderate River Flooding
1ST CHEEK POST,5.0,Moderate Flash Flooding
2 NUMBER POLE,2.0,Moderate River Flooding
2 No. Bridge,2.0,Moderate River Flooding
2- Vent box Culvert,2.0,Moderate River Flooding
2-Vent RCC box Culvert,2.0,Moderate River Flooding
20 NOVEMBER AMTOLI,0.0,Not Flood Prone
3 NUMBER POLE,2.0,Moderate River Flooding
3 No. Bridge,0.0,Not Flood Prone
3 no. pipe,0.0,Not Flood Prone
4 NUMBER POLE,2.0,Moderate River Flooding
4 No. Bridge,0.0,Not Flood Prone
4 s p dacton,2.0,Moderate River Flooding
48 kilo Bridge,0.0,Not Flood Prone
5 No hafez bazar Bridge,5.0,Moderate Flash Flooding
5 No. Bridge,0.0,Not Flood Prone
6 NO BAIL CHORI,5.0,Moderate Flash Flooding
6 No. Bair Chori Bridge,5.0,Moderate Flash Flooding
6 No.Bridge,0.0,Not Flood Prone
6-NUMSER POLE BOX CULVERT,2.0,Moderate River Flooding
69 para Bridge,0.0,Not Flood Prone
7 No. Bridge,0.0,Not Flood Prone
8 No. Bridge,0.0,Not Flood Prone
9 No. Bridge,0.0,Not Flood Prone
AAGIYA BOX CULVERT (1),3.0,Low River Flooding
AAGIYA BOX CULVERT (2),3.0,Low River Flooding
AALDIBAZAR BRIDGE,0.0,Not Flood Prone
AAMTOLI BRIGE 1,0.0,Not Flood Prone
AASKORI,6.0,Low Flash Flooding
AASKORI(2),6.0,Low Flash Flooding
AASKORI(3),6.0,Low Flash Flooding
AASKORI(4),6.0,Low Flash Flooding
AAUALDOA BOX CULVERT(2),0.0,Not Flood Prone
ABBASIA BOX CULVERT,0.0,Not Flood Prone
ABDUIPUR RCC GIRDER,0.0,Not Flood Prone
ABDUL BRIK FIELD STURIAPARA,3.0,Low River Flooding
ABDULLAH BAZAR CULVERT,7.0,Severe Tidal Surge
ABDULLAPUR BOX CULVERT,3.0,Low River Flooding
ABDULLAPUR BRIDGE,3.0,Low River Flooding
ABDULLAPUR RCC GIDER BRIDGE,0.0,Not Flood Prone
ABINNAGAR BOX CULVERT,0.0,Not Flood Prone
ABOHANI BRIDGE,2.0,Moderate River Flooding
ACHITHSU GRAM,0.0,Not Flood Prone
ACIGATE CULVERT 2,0.0,Not Flood Prone
ADABARI,2.0,Moderate River Flooding
ADAMKANDI BOX CULVERT,0.0,Not Flood Prone
ADAMKAR KANDI RCC GIDER BRIDGE,0.0,Not Flood Prone
ADDA BAZAR CULVERT,2.0,Moderate River Flooding
ADDA BRIDGE,2.0,Moderate River Flooding
ADDA SLAB CULVERT,2.0,Moderate River Flooding
ADDIPASHA R C C BRIDGE,4.0,Severe Flash Flooding
ADINA BAD SHAIKH PARA BOX CULVERT,2.0,Moderate River Flooding
ADIRABAD THORO,2.0,Moderate River Flooding
ADITPUR,4.0,Severe Flash Flooding
ADOMPUR,2.0,Moderate River Flooding
ADOMPUR BRIDGE,2.0,Moderate River Flooding
ADOMPUR SUBMARGE,2.0,Moderate River Flooding
ADOMSTEER CULVERT,2.0,Moderate River Flooding
ADONCORA,0.0,Not Flood Prone
ADOR BOX CULVERT,0.0,Not Flood Prone
ADOR SHA BOX CULVERT,0.0,Not Flood Prone
ADORSHA,5.0,Moderate Flash Flooding
ADRA BOX CULVERT,2.0,Moderate River Flooding
