road,avg_earthquake_score
N1,0.5
N101,0.5
N102,0.5
N103,0.5
N104,0.8495934959349594
N105,0.5
N106,0.5
N107,0.5
N108,0.5
N109,0.5
N110,0.5
N111,0.5
N112,0.5
N119,0.5
N120,0.5
N123,0.5
N128,0.5
N129,0.5
N2,0.16930022573363432
N203,0.5
N204,0.0
N205,0.0
N206,0.0
N207,0.0
N208,0.0
N209,0.0
N210,0.0
N3,0.3814814814814815
N302,0.5
N303,0.0
N309,0.0
N4,0.48428571428571426
N401,0.17346938775510204
N402,0.0
N403,0.5
N404,0.5
N405,0.5
N406,0.5
N407,0.5
N408,0.5
N5,0.5
N501,0.5
N502,0.5
N503,0.5
N504,0.5
N505,0.5
N506,0.08050847457627118
N507,0.5
N508,0.5
N509,0.2878787878787879
N510,0.5
N511,0.5
N513,0.5
N514,0.5
N515,0.5
N516,0.5
N517,0.5
N518,0.5
N520,0.5
N540,0.5
N6,0.8270142180094787
N602,0.5
N603,1.0
N604,1.0
N605,1.0
N7,0.99812382739212
N701,0.75
N702,1.0
N703,1.0
N704,1.0
N705,1.0
N706,1.0
N707,1.0
N708,1.0
N709,1.0
N710,1.0
N711,1.0
N712,1.0
N715,1.0
N8,0.897
N801,1.0
N802,0.5
N803,1.0
N804,1.0
N805,1.0
N806,1.0
N808,1.0
N809,1.0
R110,0.5
R111,0.5
R112,0.5
R113,0.5
R114,0.5
R120,0.5
R140,0.7922077922077922
R141,0.5714285714285714
R142,1.0
R143,1.0
R144,0.5
R145,1.0
R147,1.0
R151,0.5
R152,0.5
R160,0.5
R161,0.5
R162,0.5
R163,0.5
R164,0.5
R170,0.5
R171,0.5
R172,0.5
R180,0.5
R201,0.5
R202,0.5
R203,0.5
R210,0.5
R211,0.5
R212,0.5
R220,0.13257575757575757
R221,0.0
R222,0.0
R240,0.0
R241,0.0
R247,0.0
R248,0.0
R249,0.0
R250,0.0
R251,0.0
R280,0.0
R281,0.0
R282,0.0
R283,0.0
R301,0.5
R302,0.5
R303,0.5
R310,0.5
R311,0.5
R312,0.5
R313,0.5
R314,0.5
R315,0.5
R360,0.16134751773049646
R364,0.0
R370,0.0
R371,0.0
R450,0.5
R451,0.5
R460,0.0
R480,0.5
R504,0.5
R506,0.5
R543,0.5
R544,0.5
R545,0.5
R546,0.5
R547,0.5272727272727272
R548,0.5
R549,0.5
R550,0.5
R555,0.39
R556,0.5
R557,0.5
R558,0.5
R560,0.5
R570,0.5
R585,0.5
R586,0.5
R587,0.5
R601,0.9391891891891891
R602,1.0
R603,1.0
R604,0.5540540540540541
R605,1.0
R681,1.0
R682,1.0
R685,0.7
R710,1.0
R711,1.0
R712,1.0
R713,1.0
R720,1.0
R743,1.0
R745,1.0
R746,1.0
R747,1.0
R748,1.0
R749,1.0
R755,1.0
R760,1.0
R765,1.0
R770,1.0
R771,1.0
R802,0.5
R810,0.5
R812,0.5637254901960784
R813,0.5
R814,0.5
R820,0.5763358778625954
R850,1.0
R851,1.0
R860,1.0
R861,1.0
R870,1.0
R880,1.0
R881,1.0
R890,1.0
Z1001,0.5
Z1002,0.5
Z1004,0.5
Z1005,0.5
Z1007,0.5
Z1008,0.5
Z1009,0.5
Z1012,0.5
Z1013,0.5
Z1016,0.5
Z1017,0.5
Z1018,0.5
Z1019,0.5
Z1021,0.5
Z1022,0.5
Z1026,0.5
Z1028,0.5
Z1029,0.5
Z1030,0.5
Z1031,0.5
Z1032,0.5
Z1033,0.5
Z1034,0.5
Z1035,0.5
Z1036,0.5
Z1037,0.5
Z1038,0.5
Z1039,0.5
Z1040,0.5
Z1041,0.5
Z1042,0.5
Z1043,0.5
Z1044,0.5
Z1045,0.5
Z1046,0.5
Z1047,0.5
Z1048,0.5
Z1049,0.5
Z1050,0.5
Z1051,0.5
Z1052,0.5
Z1053,0.5
Z1054,0.5
Z1055,0.5
Z1057,0.5
Z1059,0.5
Z1060,0.5
Z1061,0.5
Z1062,0.5
Z1063,0.5
Z1064,0.5
Z1065,0.5
Z1066,0.5
Z1069,0.5
Z1070,0.5
Z1071,0.5
Z1075,1.0
Z1076,1.0
Z1081,0.5
Z1083,0.5
Z1084,0.5
Z1086,0.5
