road,avg_earthquake_score
N1,2.0
N102,2.0
N104,2.688888888888889
N105,2.0
N106,2.0
N107,2.0
N108,2.0
N110,2.0
N2,1.3017857142857143
N204,1.0
N205,1.0
N206,1.0
N207,1.0
N208,1.0
N209,1.0
N3,1.7009345794392523
N302,2.0
N309,1.0
N4,1.9872611464968153
N401,1.3103448275862069
N403,2.0
N405,2.0
N5,2.0
N501,2.0
N502,2.0
N503,2.0
N504,2.0
N505,2.0
N506,1.1904761904761905
N507,2.0
N508,2.0
N509,1.4528301886792452
N514,2.0
N516,2.0
N517,2.0
N518,2.0
N6,2.5454545454545454
N602,2.0
N603,3.0
N604,3.0
N7,3.0
N702,3.0
N703,3.0
N704,3.0
N705,3.0
N706,3.0
N707,3.0
N708,3.0
N711,3.0
N8,2.779467680608365
N803,3.0
N804,3.0
N805,3.0
N806,3.0
N808,3.0
N809,3.0
R110,2.0
R111,2.0
R113,2.0
R114,2.0
R140,2.603305785123967
R141,2.1363636363636362
R142,3.0
R143,3.0
R151,2.0
R152,2.0
R160,2.0
R161,2.0
R162,2.0
R163,2.0
R164,2.0
R170,2.0
R171,2.0
R172,2.0
R180,2.0
R201,2.0
R202,2.0
R203,2.0
R210,2.0
R211,2.0
R212,2.0
R220,1.2105263157894737
R240,1.0
R241,1.0
R250,1.0
R251,1.0
R280,1.0
R281,1.0
R282,1.0
R301,2.0
R302,2.0
R303,2.0
R310,2.0
R311,2.0
R312,2.0
R313,2.0
R314,2.0
R315,2.0
R360,1.2481203007518797
R370,1.0
R371,1.0
R450,2.0
R451,2.0
R460,1.0
R480,2.0
R504,2.0
R506,2.0
R545,2.0
R546,2.0
R547,2.0714285714285716
R548,2.0
R549,2.0
R550,2.0
R555,1.9285714285714286
R556,2.0
R557,2.0
R558,2.0
R570,2.0
R585,2.0
R586,2.0
R587,2.0
R601,2.933333333333333
R602,3.0
R603,3.0
R604,2.0454545454545454
R681,3.0
R685,2.4047619047619047
R710,3.0
R711,3.0
R712,3.0
R713,3.0
R720,3.0
R745,3.0
R746,3.0
R747,3.0
R748,3.0
R749,3.0
R755,3.0
R760,3.0
R770,3.0
R771,3.0
R802,2.0
R810,2.0
R812,2.109090909090909
R813,2.0
R820,2.1020408163265305
R850,3.0
R860,3.0
R861,3.0
R870,3.0
R880,3.0
R881,3.0
R890,3.0
Z1001,2.0
Z1002,2.0
Z1004,2.0
Z1005,2.0
Z1007,2.0
Z1008,2.0
Z1009,2.0
Z1012,2.0
Z1013,2.0
Z1016,2.0
Z1017,2.0
Z1018,2.0
Z1019,2.0
Z1021,2.0
Z1022,2.0
Z1026,2.0
Z1028,2.0
Z1029,2.0
Z1030,2.0
Z1031,2.0
Z1032,2.0
Z1033,2.0
Z1034,2.0
Z1035,2.0
Z1036,2.0
Z1037,2.0
Z1039,2.0
Z1040,2.0
Z1041,2.0
Z1042,2.0
Z1043,2.0
Z1044,2.0
Z1045,2.0
Z1046,2.0
Z1048,2.0
Z1049,2.0
Z1050,2.0
Z1051,2.0
Z1052,2.0
Z1053,2.0
Z1054,2.0
Z1057,2.0
Z1059,2.0
Z1061,2.0
Z1062,2.0
Z1063,2.0
