road,LRPName,length,condition,roadName
N1,LRP001a,11.3,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP004b,6.6,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP008b,394.23,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP010b,6.3,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP010c,6.3,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP011a,8.3,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP012a,9.3,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP012b,6.1,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP013a,27.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP013a,26.3,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP013a,26.3,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP013b,27.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP014a,11.9,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP018b,20.45,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP018a,20.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP018c,25.5,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP020a,6.0,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP021c,86.92,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP021d,89.75,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP021c,89.2,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP023a,224.8,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP023d,119.32,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP023c,119.48,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP023c,120.1,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
N1,LRP024a,924.85,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road
