LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal
LRPS,0.0,Others,Start of Road after Jatrabari Flyover infront of filling station.,23.7060278,90.443333
LRPSa,0.814,Culvert,Box Culvert,23.7029167,90.4504167
LRPSb,0.822,Cross Road,Intersection with Z1101,23.7027778,90.4504722
LRP001,1.0,Km Post,Km post missing,23.7021389,90.4519722
LRP002,2.0,Km Post,Km post missing,23.6978886,90.4605833
LRP002a,2.13,Culvert,Box culvert,23.6973608,90.4616667
LRP003,3.0,Km Post,Km post missing,23.693833,90.4691382
LRP004,4.0,Km Post,Km post missing,23.6936108,90.4787771
LRP004a,4.175,"Side Road, Right",Road to Narayanganj(R111),23.6938052,90.4805271
LRP005,5.0,Km Post,Km post missing,23.6947497,90.4884997
LRP006,6.0,Km Post,Km post missing,23.6959163,90.4981941
LRP007,7.0,Km Post,Km post missing,23.697333,90.50775
LRP007a,7.181,Cross Road,"R110,Left to Demra, Right to Narayanganj",23.6979163,90.5092778
LRP008,8.0,Km Post,Km post missing,23.7020556,90.5157222
LRP008a,8.011,Bridge,Kachpur bridge,23.7021111,90.5157778
LRP008b,8.429,Bridge,Bridge end,23.7045833,90.5188327
LRP009,8.503,Km Post,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327
LRP009a,8.763,"Side Road, Left",Road to Sylhet (N2),23.7060833,90.5215271
LRP010,9.503,Km Post,Km post missing,23.7025278,90.5273882
LRP010a,9.615,Culvert,Box culvert,23.7015278,90.5281938
LRP010b,9.963,Culvert,Box culvert,23.6998608,90.5307216
LRP010c,10.377,Culvert,Box culvert,23.6974163,90.5337774
LRP011,10.503,Km Post,Km post missing,23.6966386,90.5348052
LRP011a,10.885,Culvert,Box culvert,23.6943608,90.5376108
LRP011b,11.313,Culvert,Box culvert,23.6922774,90.5410552
LRP012,11.497,Km Post,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108
LRP012a,11.745,Bridge,Bridge start,23.6911108,90.5448886
LRP012b,11.771,Bridge,Bridge end,23.6910552,90.5451386
LRP012c,11.936,"Side Road, Right",Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583
LRP013,12.524,Km Post,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167
