Road Name,Number of Contracts,Total Length of Works (Km),Condition Category
Z3008,0,0.0,A
Z6017,2,1.26,B
Z8814,2,1.28,B
Z7041,0,0.0,A
Z6020,0,0.0,A
R141,1,0.01,B
Z3708,0,0.0,A
Z7023,0,0.0,A
R755,1,19.3,C
R114,0,0.0,A
Z4011,0,0.0,A
Z5070,0,0.0,A
Z5558,0,0.0,A
Z5047,0,0.0,A
Z1039,0,0.0,A
Z8430,0,0.0,A
N107,0,0.0,A
Z4105,0,0.0,A
Z1405,4,36.12,D
R282,0,0.0,A
Z1432,2,4.99,B
Z8059,0,0.0,A
Z5012,0,0.0,A
Z2824,0,0.0,A
N713,0,0.0,A
Z2813,0,0.0,A
Z5025,0,0.0,A
Z4605,0,0.0,A
Z1450,0,0.0,A
Z7456,0,0.0,A
R317,0,0.0,A
Z7461,1,1.52,B
Z2042,0,0.0,A
R556,1,3.0,B
Z7708,2,14.25,C
R203,0,0.0,A
Z5902,0,0.0,A
Z3041,0,0.0,A
Z2020,0,0.0,A
R749,0,0.0,A
Z7008,0,0.0,A
Z8699,0,0.0,A
Z1131,0,0.0,A
Z5467,0,0.0,A
N404,0,0.0,A
Z6813,2,13.47,C
Z1025,0,0.0,A
Z5211,0,0.0,A
Z1012,0,0.0,A
N510,0,0.0,A
R851,0,0.0,A
Z8604,0,0.0,A
Z5405,0,0.0,A
Z4619,0,0.0,A
Z1606,0,0.0,A
Z1047,0,0.0,A
N2,1,1.97,B
Z5039,0,0.0,A
Z1070,0,0.0,A
N210,0,0.0,A
Z8054,0,0.0,A
Z1703,0,0.0,A
R822,0,0.0,A
Z1061,0,0.0,A
Z7801,1,22.0,C
Z1056,0,0.0,A
Z8701,1,0.5,B
Z1617,0,0.0,A
Z4608,0,0.0,A
Z1620,0,0.0,A
N501,1,13.99,C
Z6802,3,0.85,B
Z5555,0,0.0,A
Z1034,0,0.0,A
Z5476,0,0.0,A
Z7506,0,0.0,A
Z3705,0,0.0,A
Z2031,0,0.0,A
R247,0,0.0,A
R364,0,0.0,A
Z7412,0,0.0,A
Z7719,0,0.0,A
Z5852,0,0.0,A
Z3005,0,0.0,A
R570,0,0.0,A
R212,1,22.41,D
Z7553,0,0.0,A
R547,0,0.0,A
Z3032,0,0.0,A
N806,7,6.32,D
Z1441,0,0.0,A
N309,0,0.0,A
Z4614,0,0.0,A
Z5408,0,0.0,A
Z2802,0,0.0,A
Z5034,0,0.0,A
Z5003,1,2.0,B
Z8048,0,0.0,A
N702,0,0.0,A
Z1423,0,0.0,A
Z8416,0,0.0,A
Z5617,0,0.0,A
Z1414,0,0.0,A
Z1028,0,0.0,A
Z5703,1,2.0,B
Z5061,0,0.0,A
R605,0,0.0,A
Z7050,0,0.0,A
Z6031,4,0.47,C
Z6006,0,0.0,A
Z7705,0,0.0,A
R711,0,0.0,A
Z3623,0,0.0,A
Z7108,0,0.0,A
Z5802,1,0.5,B
Z2034,0,0.0,A
Z7503,0,0.0,A
Z2003,0,0.0,A
R303,0,0.0,A
R220,0,0.0,A
Z4801,0,0.0,A
Z3037,0,0.0,A
N803,0,0.0,A
Z6028,0,0.0,A
Z5857,2,1.2,B
Z1612,0,0.0,A
Z8704,0,0.0,A
Z1053,0,0.0,A
R810,0,0.0,A
Z6852,0,0.0,A
Z1219,0,0.0,A
Z8051,0,0.0,A
Z5505,0,0.0,A
Z1064,0,0.0,A
N204,0,0.0,A
Z1125,0,0.0,A
Z8004,0,0.0,A
Z1031,0,0.0,A
R681,0,0.0,A
Z4019,0,0.0,A
N504,3,1.32,B
Z8033,4,6.04,C
R891,0,0.0,A
Z3608,6,20.224,D
Z1802,0,0.0,A
Z6034,0,0.0,A
Z7469,0,0.0,A
R162,0,0.0,A
Z1087,0,0.0,A
Z1205,1,6.3,C
Z5006,0,0.0,A
N707,0,0.0,A
Z8207,0,0.0,A
Z2807,0,0.0,A
Z1444,3,4.83,B
Z5706,0,0.0,A
Z5064,0,0.0,A
N518,1,3.39,B
Z5053,0,0.0,A
Z8507,0,0.0,A
Z1411,0,0.0,A
Z5612,2,6.52,C
Z1426,1,22.0,C
N124,0,0.0,A
Z1437,0,0.0,A
Z1128,0,0.0,A
Z8402,2,19.49,C
N102,0,0.0,A
Z5042,0,0.0,A
Z8009,0,0.0,A
Z4023,0,0.0,A
N509,3,1.3,B
Z5075,0,0.0,A
R587,0,0.0,A
