road,avg_flood_score,closest_flood_category
N1,2.660854402789887,Low River Flooding
N101,4.0,Severe Flash Flooding
N102,2.232876712328767,Moderate River Flooding
N103,2.0,Moderate River Flooding
N104,3.4390243902439024,Low River Flooding
N105,0.0,Not Flood Prone
N106,1.1556603773584906,Severe River Flooding
N107,5.0,Moderate Flash Flooding
N108,0.0,Not Flood Prone
N109,0.8333333333333334,Severe River Flooding
N110,5.0,Moderate Flash Flooding
N111,5.534883720930233,Low Flash Flooding
N112,7.0,Severe Tidal Surge
N119,2.0,Moderate River Flooding
N120,3.0,Low River Flooding
N123,5.315789473684211,Moderate Flash Flooding
N128,5.0,Moderate Flash Flooding
N129,5.0,Moderate Flash Flooding
N2,2.168552036199095,Moderate River Flooding
N203,0.0,Not Flood Prone
N204,2.3225806451612905,Moderate River Flooding
N205,2.0,Moderate River Flooding
N206,0.5,Not Flood Prone
N207,1.9156626506024097,Moderate River Flooding
N208,1.7853107344632768,Moderate River Flooding
N209,2.0,Moderate River Flooding
N210,2.3,Moderate River Flooding
N3,0.4888888888888889,Not Flood Prone
N302,1.935483870967742,Moderate River Flooding
N303,3.0,Low River Flooding
N309,2.693877551020408,Low River Flooding
N4,2.3485714285714288,Moderate River Flooding
N401,1.8877551020408163,Moderate River Flooding
N402,4.216216216216216,Severe Flash Flooding
N403,3.0,Low River Flooding
N404,2.9473684210526314,Low River Flooding
N405,1.8,Moderate River Flooding
N406,1.3333333333333333,Severe River Flooding
N407,3.0,Low River Flooding
N408,3.0,Low River Flooding
N5,2.7353184449958645,Low River Flooding
N501,1.6875,Moderate River Flooding
N502,0.2214765100671141,Not Flood Prone
N503,2.076923076923077,Moderate River Flooding
N504,2.0,Moderate River Flooding
N505,1.6666666666666667,Moderate River Flooding
N506,0.33620689655172414,Not Flood Prone
N507,1.3333333333333333,Severe River Flooding
N508,3.9310344827586206,Severe Flash Flooding
N509,0.06598984771573604,Not Flood Prone
N510,0.0,Not Flood Prone
N511,3.0,Low River Flooding
N513,1.75,Moderate River Flooding
N514,0.10526315789473684,Not Flood Prone
N515,1.803921568627451,Moderate River Flooding
N516,0.0,Not Flood Prone
N517,0.0,Not Flood Prone
N518,4.7368421052631575,Moderate Flash Flooding
N520,2.0,Moderate River Flooding
N540,2.5384615384615383,Low River Flooding
N6,1.457345971563981,Severe River Flooding
N602,3.0,Low River Flooding
N603,2.6292134831460676,Low River Flooding
N604,0.4166666666666667,Not Flood Prone
N605,0.0,Not Flood Prone
N7,2.4650283553875236,Moderate River Flooding
N701,2.0,Moderate River Flooding
N702,1.7422680412371134,Moderate River Flooding
N703,0.875,Severe River Flooding
N704,2.6176470588235294,Low River Flooding
N705,3.0,Low River Flooding
N706,2.475609756097561,Moderate River Flooding
N707,0.75,Severe River Flooding
N708,0.7058823529411765,Severe River Flooding
N709,5.349397590361446,Moderate Flash Flooding
N710,8.0,Moderate Tidal Surge
N711,2.2857142857142856,Moderate River Flooding
N712,1.4,Severe River Flooding
N715,5.222222222222222,Moderate Flash Flooding
N8,3.3226452905811623,Low River Flooding
N801,8.0,Moderate Tidal Surge
N802,1.5,Severe River Flooding
N803,0.625,Severe River Flooding
N804,2.0,Moderate River Flooding
N805,1.7370129870129871,Moderate River Flooding
N806,2.2900763358778624,Moderate River Flooding
N808,2.0,Moderate River Flooding
N809,5.920454545454546,Low Flash Flooding
R110,0.0,Not Flood Prone
R111,0.0,Not Flood Prone
R112,0.0,Not Flood Prone
R113,0.25,Not Flood Prone
R114,2.1030927835051547,Moderate River Flooding
R120,2.0,Moderate River Flooding
R140,1.62987012987013,Moderate River Flooding
R141,1.5164835164835164,Moderate River Flooding
R142,3.0,Low River Flooding
R143,0.16326530612244897,Not Flood Prone
R144,0.0,Not Flood Prone
R145,0.0,Not Flood Prone
R147,0.0,Not Flood Prone
R151,0.7039473684210527,Severe River Flooding
R152,0.0,Not Flood Prone
R160,0.0,Not Flood Prone
R161,0.0,Not Flood Prone
R162,0.0,Not Flood Prone
R163,1.4814814814814814,Severe River Flooding
R164,0.0,Not Flood Prone
R170,4.871900826446281,Moderate Flash Flooding
R171,0.8823529411764706,Severe River Flooding
R172,5.173913043478261,Moderate Flash Flooding
R180,4.583333333333333,Moderate Flash Flooding
R201,0.0,Not Flood Prone
R202,0.0,Not Flood Prone
R203,1.6744186046511629,Moderate River Flooding
R210,3.0,Low River Flooding
R211,2.1346153846153846,Moderate River Flooding
R212,1.2272727272727273,Severe River Flooding
R220,0.6818181818181818,Severe River Flooding
R221,3.0,Low River Flooding
R222,4.0,Severe Flash Flooding
R240,1.696969696969697,Moderate River Flooding
R241,4.035087719298246,Severe Flash Flooding
R247,0.0,Not Flood Prone
R248,0.0,Not Flood Prone
R249,0.0,Not Flood Prone
R250,1.8932038834951457,Moderate River Flooding
R251,0.25,Not Flood Prone
R280,3.268965517241379,Low River Flooding
R281,0.582995951417004,Severe River Flooding
R282,0.0,Not Flood Prone
R283,2.0,Moderate River Flooding
R301,0.5064935064935064,Severe River Flooding
R302,0.0,Not Flood Prone
R303,0.0,Not Flood Prone
R310,0.2967032967032967,Not Flood Prone
R311,0.0,Not Flood Prone
R312,0.0,Not Flood Prone
R313,0.08490566037735849,Not Flood Prone
R314,0.743801652892562,Severe River Flooding
R315,1.693069306930693,Moderate River Flooding
R360,0.39361702127659576,Not Flood Prone
R364,0.0,Not Flood Prone
R370,3.197841726618705,Low River Flooding
R371,2.3,Moderate River Flooding
R450,1.4705882352941178,Severe River Flooding
R451,1.5757575757575757,Moderate River Flooding
R460,1.345679012345679,Severe River Flooding
R480,2.1864406779661016,Moderate River Flooding
R504,3.0,Low River Flooding
R506,2.4966442953020134,Moderate River Flooding
R543,3.0,Low River Flooding
R544,0.0,Not Flood Prone
R545,0.6915254237288135,Severe River Flooding
R546,0.0,Not Flood Prone
R547,0.5181818181818182,Severe River Flooding
R548,0.0,Not Flood Prone
R549,0.9047619047619048,Severe River Flooding
R550,1.0106382978723405,Severe River Flooding
R555,2.32,Moderate River Flooding
R556,0.2903225806451613,Not Flood Prone
R557,0.0,Not Flood Prone
R558,0.0,Not Flood Prone
R560,0.36036036036036034,Not Flood Prone
R570,0.5806451612903226,Severe River Flooding
R585,0.6506024096385542,Severe River Flooding
R586,2.6666666666666665,Low River Flooding
R587,5.111111111111111,Moderate Flash Flooding
R601,2.1780821917808217,Moderate River Flooding
R602,1.6,Moderate River Flooding
R603,2.2954545454545454,Moderate River Flooding
R604,1.9189189189189189,Moderate River Flooding
R605,2.5384615384615383,Low River Flooding
R681,0.058823529411764705,Not Flood Prone
R682,0.0,Not Flood Prone
R685,0.4838709677419355,Not Flood Prone
R710,1.9927007299270072,Moderate River Flooding
R711,2.0,Moderate River Flooding
R712,2.0,Moderate River Flooding
R713,2.0,Moderate River Flooding
R720,2.27,Moderate River Flooding
R743,0.5454545454545454,Severe River Flooding
R745,2.779591836734694,Low River Flooding
R746,2.8333333333333335,Low River Flooding
R747,2.9302325581395348,Low River Flooding
R748,2.629032258064516,Low River Flooding
R749,3.0,Low River Flooding
R755,3.0,Low River Flooding
