road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
N1,1.8,Box Culvert,LRP001a,.,11.3,A,117861,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,1.8,19.5,2005.0,2.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.69873866,90.4588610799999,interpolate
N1,4.925,Box Culvert,LRP004b,.,6.6,A,117862,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,4.925,35.4,2006.0,1.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.6946638363636,90.4877749181818,interpolate
N1,8.976,PC Girder Bridge,LRP008b,Kanch pur Bridge.,394.23,A,119889,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,8.976,,,,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.7050598925675,90.5232141463513,interpolate
N1,10.88,Box Culvert,LRP010b,NOYAPARA CULVERT,6.3,A,112531,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,10.88,12.2,1992.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6943906141361,90.5375740774869,interpolate
N1,10.897,Box Culvert,LRP010c,ADUPUR CULVERT,6.3,A,112532,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,10.897,12.2,1984.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6943023869158,90.5377073719626,interpolate
N1,11.296,Box Culvert,LRP011a,NAYABARI KASPUR BOX CULVERT,8.3,A,101110,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,11.296,21.45,1986.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6923601518691,90.5409183897196,interpolate
N1,12.239,Box Culvert,LRP012a,KHAS PARA BOX CULVERT,9.3,A,101117,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.239,21.0,1986.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6884123260204,90.5485585290816,interpolate
N1,12.253,Box Culvert,LRP012b,DAWAN BAG BOX CULVERT,6.1,A,101119,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.253,20.6,1987.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6883197331632,90.548649807653,interpolate
N1,12.66,PC Girder Bridge,LRP013a,Madanpur Bridge.(L),27.5,A,119897,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.66,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.685583027027,90.551207981081,interpolate
N1,12.66,PC Girder Bridge,LRP013a,MADAN PUR (R),26.3,A,109841,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.66,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.685583027027,90.551207981081,interpolate
