road,id,model_type,condition,name,lat,lon,length
N1,1004066,sourcesink,Z,Infor.missing,20.8629722,92.298083,6.171318428993677
N1,1004067,link,Z,Bridge end,20.8646667,92.2981941,188.77309023100162
N1,1004068,link,Z,Bridge start,20.8650278,92.2982497,40.56594847109587
N1,1004069,link,Z,Box culvert,20.8688604,92.2982219,426.1754644709675
N1,1004070,link,Z,Km post missing,20.8692771,92.2981386,47.13631742714863
N1,1004071,link,Z,Bridge end,20.8764993,92.2978886,803.4919444581229
N1,1004072,link,Z,Bridge start,20.8768604,92.2978886,40.15248801165913
N1,1004073,link,Z,Teknaf 2 km,20.8782216,92.2977774,151.79881038826937
N1,1004074,bridge,C,Yaknat Bridge,20.8809852229698,92.2977774,35.9
N1,1004075,bridge,C,YAKNAT BRIDGE,20.8809852229698,92.2977774,35.9
N1,1004076,link,Z,Box culvert,20.8820271,92.2977774,423.15229334570967
N1,1004077,bridge,C,BUS STAND TEKNAF BOX CULVERT,20.8830704487341,92.2981629575949,1.5
N1,1004078,bridge,A,BUS STAND TEKNAF BOX CULVERT,20.8845667240506,92.2987158890295,1.5
N1,1004079,link,Z,Box culvert,20.8858608,92.2991941,450.9807634087384
N1,1004080,link,Z,Info.Missing,20.8869441,92.2996386,129.0055690872794
N1,1004081,link,Z,Bridge end,20.888833,92.2983886,246.93828308173522
N1,1004082,link,Z,Bridge start,20.8889163,92.2982497,17.146857623365904
N1,1004083,bridge,C,Eskahal Bridge,20.8901584525606,92.2957180800539,37.3
N1,1004084,bridge,B,TEKNAF NAITANG RCC GIDER BRIDGE,20.8901584525606,92.2957180800539,37.3
N1,1004085,link,Z,Teknaf 4 km,20.891833,92.2923052,697.5309037138854
N1,1004086,link,Z,Bridge end,20.8918886,92.2918052,52.30885525879117
N1,1004087,link,Z,Bridge start,20.8919163,92.2916663,14.754617616449995
N1,1004088,bridge,B,NAITOM PARA RCC GIDER BRIDGE,20.892271114035,92.2909840333333,9.0
N1,1004089,bridge,A,Naitom Para(4) Bridge,20.892271114035,92.2909840333333,9.0
N1,1004090,link,Z,Km post missing,20.8926386,92.2902774,165.1325107559328
N1,1004091,link,Z,Box culvert,20.8927774,92.2901386,21.121404051704683
N1,1004092,link,Z,Box culvert,20.8932774,92.2896386,76.08567401403181
N1,1004093,link,Z,Bridge end,20.8939441,92.2889163,105.47998843670138
N1,1004094,link,Z,Bridge start,20.894083,92.2887774,21.136535520328923
N1,1004095,link,Z,Box culvert,20.8948052,92.2881941,100.60125469944686
N1,1004096,bridge,A,NAITANG PARA RCC GIDER BRIDGE,20.8950896142857,92.2879523785714,9.0
N1,1004097,bridge,A,Naitong Para (3) Bridge,20.8950896142857,92.2879523785714,9.0
