Seed,Scenario,Avg_Travel_Time,Num_Trucks,Num_Broken_Bridges
1234567,Scenario 0,14.0,792,0
1234567,Scenario 1,14.0,792,0
1234567,Scenario 2,14.0,792,0
1234567,Scenario 3,14.0,792,0
1234567,Scenario 4,14.0,792,0
1234567,Scenario 5,14.0,792,0
1234567,Scenario 6,14.0,792,0
1234567,Scenario 7,17.56,785,1
1234567,Scenario 8,17.57,783,2
2345678,Scenario 0,14.0,792,0
2345678,Scenario 1,14.0,792,0
2345678,Scenario 2,14.0,792,0
2345678,Scenario 3,14.0,792,0
2345678,Scenario 4,14.0,792,0
2345678,Scenario 5,14.0,792,0
2345678,Scenario 6,14.0,792,0
2345678,Scenario 7,14.0,792,0
2345678,Scenario 8,14.0,792,0
3456789,Scenario 0,14.0,792,0
3456789,Scenario 1,14.0,792,0
3456789,Scenario 2,14.0,792,0
3456789,Scenario 3,14.0,792,0
3456789,Scenario 4,14.0,792,0
3456789,Scenario 5,14.0,792,0
3456789,Scenario 6,14.0,792,0
3456789,Scenario 7,14.0,792,0
3456789,Scenario 8,14.0,792,0
4567890,Scenario 0,14.0,792,0
4567890,Scenario 1,14.0,792,0
4567890,Scenario 2,14.0,792,0
4567890,Scenario 3,14.0,792,0
4567890,Scenario 4,14.0,792,0
4567890,Scenario 5,14.0,792,0
4567890,Scenario 6,14.0,792,0
4567890,Scenario 7,14.0,792,0
4567890,Scenario 8,14.46,786,1
5678901,Scenario 0,14.0,792,0
5678901,Scenario 1,14.0,792,0
5678901,Scenario 2,14.0,792,0
5678901,Scenario 3,14.0,792,0
5678901,Scenario 4,14.0,792,0
5678901,Scenario 5,14.0,792,0
5678901,Scenario 6,14.0,792,0
5678901,Scenario 7,46.26,764,1
5678901,Scenario 8,78.44,737,2
6789012,Scenario 0,14.0,792,0
6789012,Scenario 1,14.0,792,0
6789012,Scenario 2,14.0,792,0
6789012,Scenario 3,14.0,792,0
6789012,Scenario 4,14.0,792,0
6789012,Scenario 5,14.0,792,0
6789012,Scenario 6,14.0,792,0
6789012,Scenario 7,14.0,792,0
6789012,Scenario 8,37.0,745,2
7890123,Scenario 0,14.0,792,0
7890123,Scenario 1,14.0,792,0
7890123,Scenario 2,14.0,792,0
7890123,Scenario 3,14.0,792,0
7890123,Scenario 4,14.0,792,0
7890123,Scenario 5,14.0,792,0
7890123,Scenario 6,14.0,792,0
7890123,Scenario 7,14.89,786,1
7890123,Scenario 8,39.26,734,2
8901234,Scenario 0,14.0,792,0
8901234,Scenario 1,14.0,792,0
8901234,Scenario 2,14.0,792,0
8901234,Scenario 3,14.0,792,0
8901234,Scenario 4,14.0,792,0
8901234,Scenario 5,14.0,792,0
8901234,Scenario 6,67.81,737,1
8901234,Scenario 7,68.51,731,2
8901234,Scenario 8,70.17,733,3
9012345,Scenario 0,14.0,792,0
9012345,Scenario 1,14.0,792,0
9012345,Scenario 2,14.0,792,0
9012345,Scenario 3,14.0,792,0
9012345,Scenario 4,14.0,792,0
9012345,Scenario 5,14.0,792,0
9012345,Scenario 6,14.0,792,0
9012345,Scenario 7,14.0,792,0
9012345,Scenario 8,39.44,740,1
1234500,Scenario 0,14.0,792,0
1234500,Scenario 1,14.0,792,0
1234500,Scenario 2,14.0,792,0
1234500,Scenario 3,14.0,792,0
1234500,Scenario 4,14.0,792,0
1234500,Scenario 5,14.0,792,0
1234500,Scenario 6,14.0,792,0
1234500,Scenario 7,14.0,792,0
1234500,Scenario 8,14.0,792,0
