Seed,Scenario,Avg_Travel_Time,Num_Trucks,Num_Broken_Bridges,Avg_Delay_Time
1234567,Scenario 0,279.63,24860,0,0.0
1234567,Scenario 1,284.59,24844,2,3.75
1234567,Scenario 2,304.18,24599,13,23.55
1234567,Scenario 3,409.07,23834,50,132.28
1234567,Scenario 4,652.77,22185,150,384.69
2345678,Scenario 0,280.94,24912,0,0.0
2345678,Scenario 1,304.66,24772,4,24.23
2345678,Scenario 2,378.14,24302,22,99.31
2345678,Scenario 3,405.87,23727,53,130.39
2345678,Scenario 4,695.38,21498,154,429.25
3456789,Scenario 0,281.46,24885,0,0.0
3456789,Scenario 1,283.02,24886,2,2.27
3456789,Scenario 2,326.31,24624,15,48.84
3456789,Scenario 3,358.94,24210,37,81.19
3456789,Scenario 4,656.93,22353,136,387.54
4567890,Scenario 0,281.59,24901,0,0.0
4567890,Scenario 1,282.1,24830,1,0.93
4567890,Scenario 2,323.88,24647,8,44.77
4567890,Scenario 3,456.35,23819,48,179.47
4567890,Scenario 4,665.56,22307,133,394.58
5678901,Scenario 0,280.92,24889,0,0.0
5678901,Scenario 1,280.92,24889,0,0.0
5678901,Scenario 2,339.02,24535,20,59.48
5678901,Scenario 3,444.23,23746,47,169.97
5678901,Scenario 4,658.61,22183,151,390.83
6789012,Scenario 0,279.54,24895,0,0.0
6789012,Scenario 1,279.54,24895,0,0.0
6789012,Scenario 2,309.34,24562,14,27.18
6789012,Scenario 3,388.03,23968,43,113.11
6789012,Scenario 4,671.26,21855,157,403.0
7890123,Scenario 0,281.38,24893,0,0.0
7890123,Scenario 1,283.75,24856,2,4.18
7890123,Scenario 2,330.96,24537,16,52.03
7890123,Scenario 3,431.4,23771,51,156.66
7890123,Scenario 4,630.29,22010,149,365.35
8901234,Scenario 0,281.63,24919,0,0.0
8901234,Scenario 1,281.63,24919,0,0.0
8901234,Scenario 2,322.2,24650,13,42.22
8901234,Scenario 3,421.47,23610,52,148.42
8901234,Scenario 4,661.79,21777,141,394.78
9012345,Scenario 0,281.44,24883,0,0.0
9012345,Scenario 1,285.48,24888,3,3.46
9012345,Scenario 2,316.4,24531,17,38.5
9012345,Scenario 3,431.78,23860,51,156.07
9012345,Scenario 4,733.78,21060,173,473.05
1234500,Scenario 0,278.31,24885,0,0.0
1234500,Scenario 1,278.31,24885,0,0.0
1234500,Scenario 2,349.77,24410,23,72.04
1234500,Scenario 3,494.44,23367,59,219.97
1234500,Scenario 4,662.2,21811,149,394.45
