road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc,cleaned_name,LR_indicator,is_on_land,is_connected_to_road
N1,1.8,Box Culvert,LRP001a,.,11.3,A,117861,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,1.8,19.5,2005.0,2.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.7028888888888,90.4503888888889,bcs1,,,True,True
N1,4.925,Box Culvert,LRP004b,.,6.6,A,117862,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,4.925,35.4,2006.0,1.0,Dhaka,Dhaka,Narayanganj,Narayanganj-1,23.6936111111111,90.4788333333333,bcs1,,,True,True
N1,10.88,Box Culvert,LRP010b,NOYAPARA CULVERT,6.3,A,112531,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,10.88,12.2,1992.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6998333333333,90.5307222222222,bcs1,NOYAPARA CULVERT,,True,True
N1,11.296,Box Culvert,LRP011a,NAYABARI KASPUR BOX CULVERT,8.3,A,101110,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,11.296,21.45,1986.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6973611111111,90.5338333333333,bcs1,NAYABARI KASPUR BOX CULVERT,,True,True
N1,12.239,Box Culvert,LRP012a,KHAS PARA BOX CULVERT,9.3,A,101117,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.239,21.0,1986.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6923333333333,90.541,bcs1,KHAS PARA BOX CULVERT,,True,True
N1,12.66,PC Girder Bridge,LRP013a,Madanpur Bridge.(L),27.5,A,119897,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.66,22.4,2003.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6854997,90.5512778,road_precise,MADANPUR BRIDGE,L,True,True
N1,12.66,PC Girder Bridge,LRP013a,MADAN PUR (R),26.3,A,109841,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12.66,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6911111111111,90.5448888888888,bcs1,MADAN PUR,R,True,True
N1,17.222,PC Girder Bridge,LRP018b,Darikandi Bridge (R),20.45,A,119926,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,17.222,9.25,2001.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6506944,90.5829993,road_precise,DARIKANDI BRIDGE,R,True,True
N1,21.184,PC Girder Bridge,LRP021c,MARIKHALL BRIDGE,89.2,A,101103,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.184,9.2,2000.0,3.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6341666666666,90.5968888888888,bcs1,MARIKHALL BRIDGE,,True,True
N1,22.596,PC Girder Bridge,LRP023a,ASHIR CHAR (Right),224.8,A,109820,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,22.596,9.15,2004.0,9.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6242777777777,90.6054722222222,bcs1,ASHIR CHAR,R,True,True
N1,23.081,PC Girder Bridge,LRP023c,ASHARIR CHAR (L),120.1,A,109796,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,9.5,2000.0,4.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6205277777777,90.6079166666666,bcs1,ASHARIR CHAR,L,True,True
N1,26.452,Box Culvert,LRP026b,BAILAKANDI CULVERT,5.5,A,101142,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,26.452,20.9,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5961666666666,90.6246944444444,bcs1,BAILAKANDI CULVERT,,True,True
N1,27.12,Box Culvert,LRP027a,MALUAKANDI CULVEDRT,5.6,A,101150,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,27.12,21.0,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5917499999999,90.6293333333333,bcs1,MALUAKANDI CULVEDRT,,True,True
N1,28.315,PC Girder Bridge,LRP028b,Bhater char Bridge (L),172.1,A,119976,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,28.315,9.3,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.577916,90.6419719,road_precise,BHATER CHAR BRIDGE,L,True,True
N1,29.138,PC Girder Bridge,LRP029a,Anarpara Bridge (L),29.85,A,119977,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,21.0,1992.0,7.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.572166,90.6451108,road_precise,ANARPARA BRIDGE,L,True,True
N1,30.908,PC Girder Bridge,LRP031a,Alipur bridge(R),27.4,A,120009,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,7.3,1997.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5590278,90.6559444,road_precise,ALIPUR BRIDGE,R,True,True
N1,30.908,PC Girder Bridge,LRP031a,ALI PURA P.C BRIDGE (RIGHT),26.3,A,101120,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5639444444444,90.6499444444444,bcs1,ALI PURA PC BRIDGE,R,True,True
N1,31.472,PC Girder Bridge,LRP032a,Bhaber char Bridge(R),29.85,A,120017,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,12.2,1992.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5523333,90.6636667,road_precise,BHABER CHAR BRIDGE,R,True,True
N1,31.472,PC Girder Bridge,LRP032a,VOBAR CHAR (L),29.0,A,109831,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.472,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5605,90.6541944444444,bcs1,VOBAR CHAR,L,True,True
N1,32.121,PC Girder Bridge,LRP032d,BOBARCHAR BRIDGE(L),28.9,A,109825,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5564722222222,90.6588611111111,bcs1,BOBARCHAR BRIDGE,L,True,True
N1,33.591,PC Girder Bridge,LRP034a,Madhya Baushia Bridge(L),72.49,A,120028,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,9.15,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5473611111111,90.6695,bcs1,MADHYA BAUSHIA BRIDGE,L,True,True
N1,35.181,Box Culvert,LRP035a,.,9.5,A,117863,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.181,21.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5342222222222,90.6843333333333,bcs1,,R,True,True
N1,35.408,PC Girder Bridge,LRP036a,Baushia bazar Bridge( L ),25.45,A,120030,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.408,9.2,1995.0,17.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.529916,90.6952219,road_precise,BAUSHIA BAZAR BRIDGE,L,True,True
N1,50.558,Box Culvert,LRP051a,RAIPUR BOX CULVERT,12.2,A,101147,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,50.558,11.6,1988.0,2.0,Comilla,Comilla,Comilla,Gouripur,23.5347222222222,90.825,bcs1,RAIPUR BOX CULVERT,,True,True
N1,63.538,Box Culvert,LRP064c,SONAPUR BOX CULVERT,3.0,A,101169,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,63.538,12.4,1992.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.5023888888888,90.9420277777777,bcs1,SONAPUR BOX CULVERT,,True,True
N1,68.04,Box Culvert,LRP068a,MILL GHAT BOX CULVERT,4.5,A,101175,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,68.04,8.3,1991.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4951944444444,90.983,bcs1,MILL GHAT BOX CULVERT,,True,True
